band,album,date,genre,country,real_date,count
"Drowning in Tears",Fiction,1998,"Death/Thrash Metal",Netherlands,1/1/1998,1
Moonlight,"The Last Winter","December 2005","Black Metal",Mexico,1/1/2005,1
Necrosemen,Vglns,"November 4th, 2015 ","Black/Death Metal",Switzerland,1/1/2015,1
Craving,"Fucked Up Beyond Repair","May 2011","Thrash Metal/Metalcore",France,1/1/2011,1
Obduktion,"Break the Silence",2000,"Death Metal",Greece,1/1/2000,1
Saratoga,"Heaven's Gate","July 21st, 2003 ","Power/Heavy Metal",Spain,1/1/2003,1
GloryDaze,Octavirus,"October 22nd, 2016 ","Heavy Metal/Hard Rock",Germany,1/1/2016,1
Tethra,"Empire of the Void","March 20th, 2020 ","Death/Doom Metal",Italy,1/1/2020,1
Steelwitch,Steelwitch,"March 26th, 2020 ","Heavy/Power Metal",Greece,1/1/2020,1
Ebanath,"That Now Is Necessary for You","August 5th, 2006 ","Death Metal/Grindcore",Ukraine,1/1/2006,1
Quadruple,Quadruple,2004,"Thrash Metal",Sweden,1/1/2004,1
"Birth Ritual","Angel Grinder","June 25th, 2011 ","Black/Thrash Metal",Japan,1/1/2011,1
Melvins,"Basses Loaded","June 3rd, 2016 ","Sludge Metal, Various","United States",1/1/2016,1
"Gama Bomb","The Terror Tapes","April 19th, 2013 ","Thrash Metal","United Kingdom",1/1/2013,1
"Oath of Sin","Godless and War Hungry","December 27th, 2015 ","Black Metal","United States",1/1/2015,1
Underdog,"Rabies in Town",1984,"Heavy Metal",Germany,1/1/1984,1
Hexxed,Transgression,"September 24th, 2003 ","Progressive Death Metal (early), Progressive Rock/Metal (later)","United Kingdom",1/1/2003,1
Matanza,Malnacido,"April 23rd, 2007 ","Death Metal/Goregrind",Mexico,1/1/2007,1
"Curb Jaw","Step Down",2002,"Hardcore/Thrash Metal","United States",1/1/2002,1
Eroticide,"If It Bleeds It Can Be Butchered","April 18th, 2015 ","Symphonic Death/Groove Metal","United States",1/1/2015,1
Exitus,Undead,"April 2019","Thrash Metal",Czechia,1/1/2019,1
"Minas Morgul","Aus Blut gemacht","December 6th, 2007 ","Pagan Black Metal",Germany,1/1/2007,1
"Nocturnal Graves","Profanation of Innocence",2004,"Blackened Thrash Metal",Australia,1/1/2004,1
"Lvx in Tenebris","The Throne of Hades",2008,"Extreme Gothic Metal",Spain,1/1/2008,1
Cremetoria,"The Human Legacy","January 12th, 2013 ","Melodic Death Metal","Sri Lanka",1/1/2013,1
"Sixpounder Teratoma","Love Grind for Dirty Dolls","November 26th, 2013 ","Brutal Death Metal/Goregrind",Russia,1/1/2013,1
"Jeffro Hunter","Land and Conquer",2012,"Heavy Metal, Rock, Shred","United States",1/1/2012,1
Killers,"À l'ombre des vautours","April 14th, 2007 ","Heavy Metal",France,1/1/2007,1
"Steel Savior",Apokalypse,"August 6th, 2011 ","Heavy/Power Metal","United States",1/1/2011,1
"Gödspit","We Are Godspit","October 18th, 2010 ","Heavy Metal","United States",1/1/2010,1
Inequity,Rebirth,"February 14th, 2017 ","Heavy/Thrash Metal/Hard Rock (early); Melodic Death Metal (later)",Finland,1/1/2017,1
Tenebrum,"Royaume des songes funestes",2003,"Black Metal",Algeria,1/1/2003,1
"Estuary of Calamity","Unheard In The Storm",1998,"Melodic Death/Black Metal","United States",1/1/1998,1
Utu,"The Almighty Utu","September 30th, 2019 ","Raw Black Metal",Brazil,1/1/2019,1
"North Black","Tornekrone tordenvaer","January 16th, 2014 ","Atmospheric Black Metal",Russia,1/1/2014,1
Necromancy,"Into Apocalipsis","October 27th, 1995 ","Death/Black Metal",Bolivia,1/1/1995,1
Intrinsic,"Distortion of Perspective",1990,"Power/Speed Metal","United States",1/1/1990,1
"Starved and Delirious",Release,1993,Crossover,"United States",1/1/1993,1
"Können","The Aphelion Project",2017,"Heavy Metal",Argentina,1/1/2017,1
"Insanity Alert","Insanity Alert","October 18th, 2014 ","Thrash Metal/Crossover",Austria,1/1/2014,1
Kuujeojabenojujanomiashikushija,82121,"September 12th, 2014 ","Avant-garde/Death Metal","United States",1/1/2014,1
Ichthys,"Ritual Murder",2008,"Black Metal",Finland,1/1/2008,1
Aligeria,"Deliræ","May 4th, 2012 ","Heavy Metal/Hard Rock",Mexico,1/1/2012,1
"Tower of Babel","Upon the Shores of Exile",2004,"Melodic Black Metal","United States",1/1/2004,1
"Ad Leitmotiv","El ocaso de los dioses","March 21st, 2013 ","Progressive Death Metal",Mexico,1/1/2013,1
Entwined,Obliquae,2011,"Progressive/Gothic Metal",Italy,1/1/2011,1
"Arkha Sva","Hell Above, Heaven Below","July 25th, 2008 ","Black Metal",Japan,1/1/2008,1
"Uncommon Evolution",EP,"April 11th, 2014 ","Hard Rock/Doom/Stoner/Southern Metal","United States",1/1/2014,1
Cryptkicker,"Euphoric Slaughter of Life",2000,"Groove/Heavy Metal","United States",1/1/2000,1
Himsa,"Courting Tragedy and Disaster","June 17th, 2003 ","Metalcore (early), Melodic Death Metal (later)","United States",1/1/2003,1
"Throne of Malice","The Forgotten Servants","December 2002","Black Metal",Sweden,1/1/2002,1
"Destruction Travel","Demo 2006","June 2006","Heavy/Thrash Metal",Italy,1/1/2006,1
"Demon Incarnate","Key of Solomon","March 23rd, 2018 ","Heavy/Doom Metal/Rock",Germany,1/1/2018,1
"Glorifying Dying","Witch Holocaust","October 5th, 2014 ","Black Metal","United States",1/1/2014,1
Puertas,"Killing Music",2008,"Heavy Metal",Argentina,1/1/2008,1
"Hammers Rule","Spontaneous Human Combustion",1987,"Heavy Metal","United States",1/1/1987,1
"Distortion of Perception",Ordination,"August 2006","Death/Thrash Metal",Greece,1/1/2006,1
Walhalla,"Rising Through the Past",2004,"Heavy/Power/Thrash Metal",Italy,1/1/2004,1
Kingdragon,"Fire in the Sky","October 10th, 2008 ","Melodic Heavy Metal/Hard Rock",Greece,1/1/2008,1
"Royal Orphan","Royal Orphan","April 24th, 2018 ","Power Metal","United States",1/1/2018,1
Sluagh,"Sluagh EP","March 7th, 2014 ","Stoner/Doom Metal/Rock","United States",1/1/2014,1
Ruinebell,"Embers' Grave","September 17th, 2015 ","Industrial/Thrash Metal",International,1/1/2015,1
"Dimaension X","The G.W.E.N. Towers","September 15th, 2014 ",Various,"United States",1/1/2014,1
"Wrath of Typhon","Speak from the Fire","November 1st, 2011 ","Heavy Metal","United States",1/1/2011,1
"Distant Light","Prison of Dreams","April 28th, 2004 ","Progressive/Power Metal",Latvia,1/1/2004,1
Advent,"Transhumanic Hell","February 26th, 2017 ","Atmospheric Doom Metal",Russia,1/1/2017,1
"Hideous Mangleus","Unearthing Grandma's Grave",1992,"Death Metal/Grindcore","United States",1/1/1992,1
"End of All Daze","Looking for Answers",1999,"Power Metal",Germany,1/1/1999,1
Narcosis,"Super Satan Terror Demon 665.5","December 10th, 2002 ","Death Metal",Germany,1/1/2002,1
"Steve Von Till","If I Should Fall to the Field","October 2002",Acoustic/Folk,"United States",1/1/2002,1
Equinox,"Xerox Success",1992,"Technical Thrash Metal",Norway,1/1/1992,1
Dor,"Espelho do Tempo","May 24th, 2018 ","Blackened Punk/Sludge Metal",Brazil,1/1/2018,1
"Stone Age","Elgu Faeces",1994,"Death Metal",Denmark,1/1/1994,1
Kalashnikov,"Oh Yeah Motherfucker!","April 23rd, 2007 ","Thrash Metal",Portugal,1/1/2007,1
Forneus,"Disconnect... Voidborn","October 18th, 2019 ","Black Metal","United Kingdom",1/1/2019,1
"P.T.E. Order","Em Nome de Nossa Suprema Majestade Lúcifer",2004,"Black Metal",Brazil,1/1/2004,1
"Orange Goblin","A Eulogy for the Damned","February 13th, 2012 ","Stoner Metal","United Kingdom",1/1/2012,1
Jesusegg,Jesusegg,"December 25th, 2015 ",Grindcore,"United States",1/1/2015,1
"Sleep of Thetis","Thin Limits",2006,"Progressive/Gothic Metal",Italy,1/1/2006,1
Niemandsluft,"Mens Corpore Unum","December 14th, 2012 ","Atmospheric Black Metal",Germany,1/1/2012,1
Incursed,"The Slavic Covenant","July 31st, 2017 ","Viking/Pagan/Folk Metal",Spain,1/1/2017,1
"Indigo Child",Re-Death,"December 14th, 2004 ","Gothic Metal",Slovenia,1/1/2004,1
Soothsayer,"Alpha Omega",1989,"Thrash Metal","United States",1/1/1989,1
Hangman,"Shadow in the Night",1998,"Heavy Metal",Finland,1/1/1998,1
"New Mexican Erection",Co-Dependent,"February 5th, 2005 ","Heavy/Thrash/Groove Metal","United States",1/1/2005,1
"Armored Saint",Revelation,"March 6th, 2000 ","Heavy Metal","United States",1/1/2000,1
Endlight,"The Treacherous Fall","April 30th, 2015 ","Folk/Melodic Death Metal","United States",1/1/2015,1
Sata,Sata,2002,"Gothic/Death Metal/Grindcore","United Kingdom",1/1/2002,1
Obsession,"Methods of Madness","October 25th, 1987 ","Heavy/Power Metal","United States",1/1/1987,1
Tanelorn,"The Other Side",1996,"Progressive/Power Metal","United States",1/1/1996,1
Peritura,Solis,"February 15th, 2016 ","Black Metal","United States",1/1/2016,1
Gravestone,"Simphony of Pain","February 1994","Progressive Death Metal",Italy,1/1/1994,1
"Under Siege","Niet Seken, Gewoon Luisteren","December 15th, 1989 ","Progressive Power/Thrash Metal",Netherlands,1/1/1989,1
"Within the Fall","Where Sorrow Grows","March 14th, 2015 ","Death/Doom Metal",Sweden,1/1/2015,1
Belenos,"Triste pensée",1999,"Pagan Black Metal",France,1/1/1999,1
Orogen,Demo,"May 22nd, 2014 ","Doom Metal","United States",1/1/2014,1
Raytion,Raytion,1989,"Power Metal",Japan,1/1/1989,1
Pristina,"Hopeless Godless","February 26th, 2013 ","Thrash Metal/Metalcore with Grindcore influences","United States",1/1/2013,1
"Dinas Emrys","Anatomie des Wahnsinns",1992,"Doom/Death/Thrash Metal",Germany,1/1/1992,1
"Forbidden Evil","March into Fire",1987,"Thrash Metal","United States",1/1/1987,1
Tiefgefroren,"Demo 2006",2006,"Industrial Death Metal",Germany,1/1/2006,1
88,"Rehearsal #1","April 20th, 2006 ","Black Metal",Bulgaria,1/1/2006,1
"Friday the 13th",Bloodnight,"February 14th, 2007 ","Death Metal",Germany,1/1/2007,1
Abadon,Libertad,2004,"Death Metal (early), Heavy/Power Metal (later)",Ecuador,1/1/2004,1
"Ghost of Metal Past",Arisen,2007,"Power/Thrash Metal","United States",1/1/2007,1
"Snuffed on Sight","Promo 2020","August 25th, 2020 ","Brutal Death Metal","United States",1/1/2020,1
"Измор","Галлюцинации зверей","February 12th, 2015 ","Stoner/Doom Metal",Russia,1/1/2015,1
Nepenthis,Y,"May 18th, 2017 ","Atmospheric Doom Metal; Electronic; Acoustic",Germany,1/1/2017,1
Merknet,"Rotten Omega Ceremony","November 29th, 2012 ","Black Metal",Russia,1/1/2012,1
Fury161,"Black Bomber","April 2006","Death/Thrash Metal",Spain,1/1/2006,1
Agathocles,"Minced in Piracicaba, Brazil, 2007","December 2009",Grindcore,Belgium,1/1/2009,1
"Academy Black","Demo 1988",1988,"Crossover/Thrash Metal","United States",1/1/1988,1
Rikter,"Retribución","March 21st, 2014 ","Death/Thrash Metal",Mexico,1/1/2014,1
"Spooky Six Mouse","No Diet, No Sack, No Heaven","July 7th, 1999 ","Thrash Metal",Japan,1/1/1999,1
Nekkromaniac,Nekkrofukk,"April 11th, 2015 ","Black/Thrash Metal",Germany,1/1/2015,1
Hyonblud,"Chaos from World Orgasm","December 1st, 2012 ","Brutal Death Metal",China,1/1/2012,1
"Good Oils","One Way ?",2006,"Thrash Metal",France,1/1/2006,1
Hackpeter,Hackpeter,"October 22nd, 2019 ","Death Metal/Grindcore","United States",1/1/2019,1
ShadowStrike,"Legends of Human Spirit","July 12th, 2019 ","Symphonic Power Metal","United States",1/1/2019,1
"The Day of the Beast","Demo #3","August 6th, 2010 ","Black/Thrash Metal","United States",1/1/2010,1
Lifend,Devihate,"May 30th, 2008 ","Experimental Metal (early), Atmospheric/Melodic Death Metal (later)",Italy,1/1/2008,1
Endrah,"Shoot, Shovel, Shut up","May 2016","Death Metal/Hardcore",Brazil,1/1/2016,1
Finitude,"Dissensio Homines Part I","October 10th, 2012 ","Heavy/Power Metal",Brazil,1/1/2012,1
"Bled to Death","Cha Togar m'fhearg gun Dioladh","September 1st, 2007 ","Death/Black Metal","United States",1/1/2007,1
Syrant,"Coming Back",2009,"Power Metal","United States",1/1/2009,1
Sofisma,"Before Reality",1993,"Thrash Metal",Italy,1/1/1993,1
Nukke,"Viimeisen hetken lämpö",2004,"Melodic Death Metal",Finland,1/1/2004,1
Orghia,"Waiting for the Dusk","June 6th, 2006 ","Thrash/Death Metal",Italy,1/1/2006,1
"Neutron Hammer","Iron Storm Evocation","September 3rd, 2012 ","Blackened Death/Thrash Metal",Finland,1/1/2012,1
Zendas,"Días de furia","September 16th, 2011 ","Heavy Metal/Hard Rock",Colombia,1/1/2011,1
Aterial,"War Machinery","December 1st, 2004 ","Heavy Metal",Germany,1/1/2004,1
"A Hill to Die Upon",Omens,"June 2011","Black/Death Metal","United States",1/1/2011,1
"Oroku Saki","Oroku Saki","January 24th, 2006 ","Power/Heavy Metal",Sweden,1/1/2006,1
"Dawn of Demise","A Force Unstoppable","January 19th, 2010 ","Death Metal",Denmark,1/1/2010,1
"Ariabl'eyes","瑠璃色のローゼンクロイツ","October 27th, 2013 ","Symphonic Power Metal",Japan,1/1/2013,1
"Between Man and God","Deceptive Paradise","October 13th, 2012 ","Melodic Thrash/Death Metal",Germany,1/1/2012,1
Perish,"Immense Decay","November 8th, 2009 ","Thrash Metal",Sweden,1/1/2009,1
Deathrattle,"Minutes Before Death","November 13th, 2015 ","Thrash Metal",Romania,1/1/2015,1
Banished,"Deliver Me unto Pain",1993,"Death Metal","United States",1/1/1993,1
"Carved Cross","Rehearsal MMXIX","February 2019","Black Metal",Australia,1/1/2019,1
"Sole Convert","Ruination in Return","March 2005","Melodic Death Metal",Finland,1/1/2005,1
Marseille,"Red, White and Slightly Blue","June 1978",NWOBHM,"United Kingdom",1/1/1978,1
"Am I Blood","Shadows with the Colors",2008,"Thrash Metal",Finland,1/1/2008,1
"Last 9 Days","In Decline","February 23rd, 2017 ",Metalcore,Australia,1/1/2017,1
Target,"Cloak & Dagger",1991,"Heavy Metal",Brazil,1/1/1991,1
Vurricator,"Vurricated Humanity","April 29th, 2014 ","Death Metal",Italy,1/1/2014,1
Stigma,"Ugly Target",1996,"Death Metal",Czechia,1/1/1996,1
Unhallowed,Unhallowed,1997,"Black Metal",Germany,1/1/1997,1
Exterminate,"Anathemas of Galaxies and Tyme","May 22nd, 2012 ","Death Metal",Italy,1/1/2012,1
"Headless Cross","Cardinal Sin",2004,"Melodic Death/Thrash Metal",Japan,1/1/2004,1
"Northern Storm","The Cold Winds of Hate",2005,"Black Metal, Viking Metal",Canada,1/1/2005,1
Mourning,"Demo 1991",1991,"Death/Doom Metal",Netherlands,1/1/1991,1
Breakdown,Promo,2006,"Thrash Metal",Brazil,1/1/2006,1
"Acid Goat",II,"October 15th, 2016 ","Stoner/Doom Metal","United Kingdom",1/1/2016,1
"Black Dawn","On Blackened Wings","May 3rd, 2019 ","Heavy Metal","United States",1/1/2019,1
"Mox Nix","All Access",1985,"Heavy/Power Metal","United States",1/1/1985,1
Ardwynn,"Légendes de héros oubliés","October 1st, 2017 ","Folk Metal",Belgium,1/1/2017,1
Todtgelichter,Schemen,"May 2nd, 2007 ","Avant-garde Black Metal",Germany,1/1/2007,1
Extorted,"Trash Metal","February 14th, 2020 ","Death/Thrash Metal","New Zealand",1/1/2020,1
GMB,"Gore Obsessed Violent Exhibition Live Bonus","April 2nd, 2014 ","Death Metal",Slovenia,1/1/2014,1
"Author of Pain","Suicide Thoughts",1995,"Black Metal",Sweden,1/1/1995,1
"Extripating Extasy",Oniro,1996,"Grindcore/Noise/Death Metal",Germany,1/1/1996,1
Drachenbrut,"... Out of the Cannabian Woods",2000,"Black Metal",Germany,1/1/2000,1
Gestank,Rathymns,"March 26th, 2018 ","Black Metal",Sweden,1/1/2018,1
Atropos,Inhabitant,"July 4th, 2011 ","Melodic Death Metal",Poland,1/1/2011,1
Monoceros,"Tyrant of the Golden Line","June 26th, 2020 ","Progressive Heavy Metal/Hard Rock","United States",1/1/2020,1
"Tank Genocide","Earth Pagan",2012,"Raw Black Metal/Noise",France,1/1/2012,1
"Requiem of Sorrow","Morbe Dasle",2009,"Melodic Black/Gothic Metal",Mexico,1/1/2009,1
"Mare Tenebrarum","Sangras por mí",2004,"Death Metal/Hardcore","El Salvador",1/1/2004,1
"Lack of Purity","…Can't Turn Back Time…","January 11th, 2003 ","Melodic Thrash/Death Metal",Austria,1/1/2003,1
"All Dead Saints",Aliens,"October 8th, 2016 ","Black/Doom Metal, Deathcore",Ukraine,1/1/2016,1
"Master of Cruelty","Occult Loud Blast","June 2010","Black/Death/Thrash Metal",Paraguay,1/1/2010,1
Dragonauta,"(c10 h10) 666","April 19th, 2013 ","Psychedelic Stoner/Doom Metal (early), Progressive Black Metal (later)",Argentina,1/1/2013,1
Cannon,"Metal Style","September 2008","Heavy Metal",Germany,1/1/2008,1
"Hate Forest","The Gates","October 2001","Black Metal/Ambient",Ukraine,1/1/2001,1
Sinawe,"Reason of Dead Bugs","April 14th, 2006 ","Hard Rock/Heavy Metal (early), Alternative Rock (later)","Korea, South",1/1/2006,1
"Смурь","Ой, туман, роса холодная​.​.​.","August 16th, 2020 ","Pagan Folk/Doom Metal",Russia,1/1/2020,1
Stormlord,Hesperia,"September 20th, 2013 ","Death Metal (early), Symphonic Black/Power Metal (later)",Italy,1/1/2013,1
Longinus,World,"December 4th, 2013 ","Power Metal",Japan,1/1/2013,1
Shockwave,"Lost in Life",1994,"Thrash Metal",Netherlands,1/1/1994,1
"Midwinter Storm","La Cantare de Inferiorum","October 2004","Experimental Doom Metal","United States",1/1/2004,1
Dogma,"Memorial à Obsessão Pela Dor",2002,"Gothic/Doom Metal",Portugal,1/1/2002,1
Paralex,"Revolvo Sessions","March 16th, 1980 ",NWOBHM,"United Kingdom",1/1/1980,1
Sarkastica,"Argentina Death",1997,"Thrash Metal/Crossover",Argentina,1/1/1997,1
"Silent Kingdom","Where Secrets Meet","December 15th, 2017 ","Melodic Death Metal (early); Progressive Rock (later)","Bosnia and Herzegovina",1/1/2017,1
Lautreamont,"Silence of the Deceased","May 7th, 2018 ","Death/Black Metal",Russia,1/1/2018,1
"Rhett Akers","Lethal Rhetoric - Darkness Rising Soundtrack","October 17th, 2013 ","Thrash Metal/Crossover","United States",1/1/2013,1
"Nicatas Drumer","Third Offering",2003,"Black Metal","South Africa",1/1/2003,1
"Chlamydia Jizz","Keeping Warm Around the Crackpipe","April 20th, 2020 ","Brutal Death Metal/Goregrind","United States",1/1/2020,1
Draugluin,"The Deep Ones","December 4th, 2007 ","Black Metal",Greece,1/1/2007,1
"Servent Fear","Stains of Iniquity",1997,"Thrash Metal","United States",1/1/1997,1
"Doppelgänger","Saturnian Rings","December 20th, 2006 ","Gothic/Doom Metal (early), Gothic Rock (later)",Russia,1/1/2006,1
"Iron Fist","Proof of the Living",1991,"Heavy Metal",Japan,1/1/1991,1
Rawhead,"Spineless Pigs","May 10th, 2018 ","Death Metal/Grindcore/Goregrind",Australia,1/1/2018,1
"Merciless Onslaught","Promo '07","June 10th, 2007 ","Black/Thrash/Death Metal",Italy,1/1/2007,1
"Sore Implanted",Menschenhandel,"April 20th, 2017 ","Brutal Death Metal",Germany,1/1/2017,1
Dirge,Hyperion,"March 14th, 2014 ","Industrial Metal (early), Atmospheric Sludge Metal (later)",France,1/1/2014,1
"Abominable Malformation","Demo 2019","February 10th, 2019 ","Slam/Brutal Death Metal",Germany,1/1/2019,1
"The Circle","Promo 1993",1993,"Doom/Death/Gothic Metal",Netherlands,1/1/1993,1
Markarian,"Event Horizon","February 28th, 2020 ","Doom Metal",France,1/1/2020,1
Corpuscide,"Something Has Happened to My Brain","August 23rd, 2013 ","Death/Southern Metal","United States",1/1/2013,1
Hiidenhauta,"Surma saapuu suota myöten","January 18th, 2013 ","Melodic Black Metal",Finland,1/1/2013,1
Testor,"Demo '99",1999,"Speed/Thrash Metal",Poland,1/1/1999,1
Gabestok,Tre,"October 25th, 2019 ","Black Metal",Denmark,1/1/2019,1
Godslave,"Bound by Chains","April 2008","Thrash Metal",Germany,1/1/2008,1
Obskuritatem,"Heic Noenum Pax","September 5th, 2012 ","Black Metal, Ambient/Noise","Bosnia and Herzegovina",1/1/2012,1
"TT Quick","Metal of Honor","July 14th, 1986 ","Heavy Metal","United States",1/1/1986,1
Desecration,"And the Skulls Continue to Laugh",1989,"Speed Metal",Italy,1/1/1989,1
Castigo,"Derramando sangre impura","June 22nd, 2017 ","Black/Death Metal",Chile,1/1/2017,1
Leukaemia,"进化 / 灭绝","September 30th, 2009 ","Black Metal",China,1/1/2009,1
"No Remission","Without the Shedding of Blood","March 21st, 2007 ","Thrash Metal","United States",1/1/2007,1
"Corporal Pain","Assassinated Dreams",1996,"Death Metal",Germany,1/1/1996,1
"Fissür",DiktaCthulhu,"September 2011","Black Metal",France,1/1/2011,1
Dragonwind,Promo,2007,"Melodic Death Metal","United States",1/1/2007,1
"Delicado Sonido del Trueno","Live Version - MMX",2010,"Gothic/Doom Metal",Ecuador,1/1/2010,1
Bestia,"Flyin' Plane of a Dream",2005,"Heavy/Speed Metal",Ukraine,1/1/2005,1
LauraBruja,"Cuando todo acabó",2011,"Heavy Metal",Spain,1/1/2011,1
Malleficarum,"Shadows from the Walls of Death","November 2016","Black Metal",Mexico,1/1/2016,1
